Model,Hidden_Size,Num_Layers,Total_Params,Accuracy
MLP,10,1,10,0.84375
KAT,10,1,10,0.0625
MLP,10,2,20,0.875
KAT,10,2,20,0.125
MLP,10,3,30,0.796875
KAT,10,3,30,0.53125
MLP,10,4,40,0.515625
KAT,10,4,40,0.078125
MLP,10,5,50,0.71875
KAT,10,5,50,0.078125
MLP,50,1,50,0.921875
KAT,50,1,50,0.9375
MLP,50,2,100,0.9375
KAT,50,2,100,0.078125
MLP,50,3,150,0.9375
KAT,50,3,150,0.34375
MLP,50,4,200,0.953125
KAT,50,4,200,0.078125
MLP,50,5,250,0.921875
KAT,50,5,250,0.234375
MLP,100,1,100,0.984375
KAT,100,1,100,0.828125
MLP,100,2,200,0.921875
KAT,100,2,200,0.03125
MLP,100,3,300,0.9375
KAT,100,3,300,0.078125
MLP,100,4,400,0.96875
KAT,100,4,400,0.15625
MLP,100,5,500,0.96875
KAT,100,5,500,0.671875
MLP,200,1,200,0.984375
KAT,200,1,200,0.96875
MLP,200,2,400,0.953125
KAT,200,2,400,0.984375
MLP,200,3,600,0.96875
KAT,200,3,600,0.953125
MLP,200,4,800,0.9375
KAT,200,4,800,0.9375
MLP,200,5,1000,0.953125
KAT,200,5,1000,0.953125
MLP,500,1,500,0.953125
KAT,500,1,500,0.1875
MLP,500,2,1000,0.953125
KAT,500,2,1000,0.953125
MLP,500,3,1500,0.96875
KAT,500,3,1500,0.96875
MLP,500,4,2000,0.90625
KAT,500,4,2000,0.875
MLP,500,5,2500,0.84375
KAT,500,5,2500,0.9375
