Model,Hidden_Size,Num_Layers,Total_Params,Accuracy
MLP,10,1,10,0.078125
KAT,10,1,10,0.171875
MLP,10,2,20,0.15625
KAT,10,2,20,0.046875
MLP,10,3,30,0.125
KAT,10,3,30,0.046875
MLP,10,4,40,0.296875
KAT,10,4,40,0.046875
MLP,10,5,50,0.171875
KAT,10,5,50,0.046875
MLP,50,1,50,0.359375
KAT,50,1,50,0.046875
MLP,50,2,100,0.46875
KAT,50,2,100,0.046875
MLP,50,3,150,0.234375
KAT,50,3,150,0.046875
MLP,50,4,200,0.15625
KAT,50,4,200,0.046875
MLP,50,5,250,0.140625
KAT,50,5,250,0.046875
MLP,100,1,100,0.578125
KAT,100,1,100,0.625
MLP,100,2,200,0.5
KAT,100,2,200,0.046875
MLP,100,3,300,0.484375
KAT,100,3,300,0.046875
MLP,100,4,400,0.421875
KAT,100,4,400,0.046875
MLP,100,5,500,0.375
KAT,100,5,500,0.046875
MLP,200,1,200,0.578125
KAT,200,1,200,0.65625
MLP,200,2,400,0.609375
KAT,200,2,400,0.609375
MLP,200,3,600,0.578125
KAT,200,3,600,0.5
MLP,200,4,800,0.65625
KAT,200,4,800,0.46875
MLP,200,5,1000,0.5
KAT,200,5,1000,0.5
MLP,500,1,500,0.65625
KAT,500,1,500,0.046875
MLP,500,2,1000,0.5
KAT,500,2,1000,0.046875
MLP,500,3,1500,0.71875
KAT,500,3,1500,0.046875
MLP,500,4,2000,0.609375
KAT,500,4,2000,0.046875
MLP,500,5,2500,0.328125
KAT,500,5,2500,0.046875
